addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,showflag,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
제주특별자치도 제주시 관덕로11길 2 (일도일동),,,,,,2906140,38,20221031183142,https://tong.visitkorea.or.kr/cms/resource/38/4020138_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/38/4020138_image3_1.jpg,Type3,126.525507712254,33.5133883532632,6,20260319094959,,,노스페이스 제주점,63277,1,50,110,SH,SH04,SH040300
충청북도 제천시 의림대로 171 (의림동),,,,,,4026908,38,20260228133547,https://tong.visitkorea.or.kr/cms/resource/73/4045773_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/73/4045773_image3_1.jpg,Type3,128.212813008054,37.1427689920229,,20260326092041,,,노스페이스 제천점,27165,1,43,150,SH,SH04,SH040300
광주광역시 남구 회재로 1236 (주월동),,,,,,4026469,38,20260227223054,https://tong.visitkorea.or.kr/cms/resource/67/4044667_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/67/4044667_image3_1.JPG,Type3,126.895984539496,35.133629845464,,20260327092150,,,노스페이스 주월점,61718,1,29,155,SH,SH04,SH040300
경기도 용인시 수지구 용구대로 2729-1 (죽전동),,,,,,4011841,38,20260204214424,https://tong.visitkorea.or.kr/cms/resource/43/4023143_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/4023143_image3_1.jpg,Type3,127.108624241104,37.3296988477238,,20260312090840,,,노스페이스 죽전점,16869,1,41,465,SH,SH04,SH040300
인천광역시 서구 청라루비로 76 (청라동),,,,,,4012898,38,20260207055526,https://tong.visitkorea.or.kr/cms/resource/20/4023420_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/20/4023420_image3_1.jpg,Type3,126.642099544013,37.5322840014817,,20260312090840,,,노스페이스 청라스퀘어점,22761,1,28,260,SH,SH04,SH040300
경기도 수원시 권선구 세화로 134 (서둔동),5층,,,,,2927033,38,20221030202754,https://tong.visitkorea.or.kr/cms/resource/03/4019203_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/03/4019203_image3_1.jpg,Type3,126.997385539043,37.264162726921,6,20260327092150,,,노스페이스 타임빌라스 수원점,16621,1,41,113,SH,SH04,SH040300
서울특별시 영등포구 영중로 15 (영등포동4가),1층,,,,,2931430,38,20221030164723,https://tong.visitkorea.or.kr/cms/resource/07/4018107_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/07/4018107_image3_1.jpg,Type3,126.903715993779,37.5172332566615,6,20260316105417,,,노스페이스 타임스퀘어점,07305,1,11,560,SH,SH04,SH040300
서울특별시 관악구 신림로 330 (신림동),2층,,,,,4011757,38,20260204204845,https://tong.visitkorea.or.kr/cms/resource/74/4022374_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/74/4022374_image3_1.jpg,Type3,126.930234545397,37.4838513393186,,20260330091611,,,노스페이스 타임스트림점,08777,1,11,620,SH,SH04,SH040300
경상남도 통영시 중앙로 321 (무전동),,,,,,4012180,38,20260205214342,https://tong.visitkorea.or.kr/cms/resource/55/4041955_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/55/4041955_image3_1.jpg,Type3,128.428366020077,34.8589806007746,,20260325093432,,,노스페이스 통영점,53043,1,48,220,SH,SH04,SH040300
서울특별시 용산구 이태원로 227 (한남동),1층,,,,,4009406,38,20260130174436,https://tong.visitkorea.or.kr/cms/resource/61/4022061_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/61/4022061_image3_1.jpg,Type3,126.998865850313,37.5356435675709,,20260309100814,,,노스페이스 한남점,04349,1,11,170,SH,SH04,SH040300
경기도 고양시 일산서구 호수로 817 (대화동),5층,,,,,3307482,38,20240202083049,https://tong.visitkorea.or.kr/cms/resource/33/4018733_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/33/4018733_image3_1.jpg,Type3,126.751647571454,37.6679852145335,6,20260327092150,,,노스페이스 현대백화점 킨텍스점,10391,1,41,287,SH,SH04,SH040300
서울특별시 송파구 충민로 66 (문정동),3층,,,,,2925639,38,20221031003653,https://tong.visitkorea.or.kr/cms/resource/70/4018570_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/70/4018570_image3_1.jpg,Type3,127.124961768886,37.4776148442516,6,20260327092150,,,노스페이스 현대아울렛 가든파이브점,05838,1,11,710,SH,SH04,SH040300
서울특별시 금천구 디지털로10길 9 (가산동),4층,,,,,2900776,38,20221031112427,https://tong.visitkorea.or.kr/cms/resource/49/4021649_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/49/4021649_image3_1.jpg,Type3,126.88905533739,37.4776190161713,6,20260318101005,,,노스페이스 현대아울렛 가산점,08514,1,11,545,SH,SH04,SH040300
서울특별시 중구 장충단로13길 20 (을지로6가),7층,,,,,4012819,38,20260207040722,https://tong.visitkorea.or.kr/cms/resource/06/4024706_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/06/4024706_image3_1.jpeg,Type3,127.007666479829,37.568734553218,,20260330091611,,,노스페이스 현대아울렛 동대문점,04563,1,11,140,SH,SH04,SH040300
경기도 김포시 고촌읍 아라육로152번길 100,3층,,,,,2930762,38,20221031143749,https://tong.visitkorea.or.kr/cms/resource/27/4021327_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/27/4021327_image3_1.jpg,Type3,126.785233626536,37.5972368549658,6,20260318101005,,,노스페이스 현대프리미엄아울렛 김포점,10135,1,41,570,SH,SH04,SH040300
인천광역시 연수구 송도국제대로 123 (송도동),B1층,,,,,2923773,38,20221031161759,https://tong.visitkorea.or.kr/cms/resource/11/4022311_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/11/4022311_image3_1.jpg,Type3,126.657917047216,37.3816291013573,6,20260326092041,,,노스페이스 현대프리미엄아울렛 송도점,21984,1,28,185,SH,SH04,SH040300
경기도 남양주시 다산순환로 50 (다산동),3층,,,,,4025346,38,20260226232240,https://tong.visitkorea.or.kr/cms/resource/73/4044773_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/73/4044773_image3_1.jpg,Type3,127.152429100255,37.616257926116,,20260330091611,,,노스페이스 현대프리미엄아울렛 스페이스원점,12248,1,41,360,SH,SH04,SH040300
강원특별자치도 강릉시 금성로42번길 5 (금학동),,,,,,2930327,38,20221031141427,,,,128.89595530457,37.7533215616975,6,20260226120954,,,노스페이스 화이트라벨 강릉점,25539,1,51,150,SH,SH04,SH040300
강원특별자치도 강릉시 금성로42번길 5 (금학동),,,,,,4024894,38,20260225192000,https://tong.visitkorea.or.kr/cms/resource/86/4043286_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/86/4043286_image3_1.jpg,Type3,128.89595530457,37.7533215616975,,20260327092150,,,노스페이스 화이트라벨 강릉점,25539,1,51,150,SH,SH04,SH040300
서울특별시 중구 을지로 264 (을지로6가),B2층,,,,,4012796,38,20260207021718,https://tong.visitkorea.or.kr/cms/resource/02/4024702_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/02/4024702_image3_1.jpeg,Type3,127.007079629799,37.5657600422078,,20260330091611,,,노스페이스 화이트라벨 던던 동대문점,04561,1,11,140,SH,SH04,SH040300
경상북도 안동시 남문로 21 (서부동),,,A04,A0401,A04011000,3555703,38,20251024154617,,,,128.7299088175,36.5652656879,6,20251027155137,,,노스페이스 화이트라벨 안동점,36695,1,47,170,SH,SH04,SH040300
경기도 안양시 동안구 시민대로 180 (호계동),,,,,,2929824,38,20221030230913,https://tong.visitkorea.or.kr/cms/resource/21/4019821_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/21/4019821_image3_1.jpg,Type3,126.950178643649,37.390002179095,6,20260327092150,,,노스페이스키즈 롯데백화점 평촌점,14073,1,41,173,SH,SH04,SH040300
서울특별시 광진구 능동로 92 (자양동),7층,,,,,2923989,38,20221030181130,https://tong.visitkorea.or.kr/cms/resource/43/4017343_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/4017343_image3_1.jpg,Type3,127.071432147214,37.5390373908314,6,20260330091611,,02-2218-3760,노스페이스화이트라벨 롯데백화점 건대스타시티점,05065,1,11,215,SH,SH04,SH040300
서울특별시 강북구 도봉로 62 (미아동),B1층,,,,,3306944,38,20240202083014,https://tong.visitkorea.or.kr/cms/resource/77/4018977_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/77/4018977_image3_1.jpg,Type3,127.030517678336,37.6145929759749,6,20260327092150,,,노스페이스화이트라벨 롯데백화점 미아점,01215,1,11,305,SH,SH04,SH040300
경기도 안산시 단원구 고잔1길 12 (고잔동),본관 5층,,,,,2924900,38,20221030200908,https://tong.visitkorea.or.kr/cms/resource/36/4018036_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/36/4018036_image3_1.jpg,Type3,126.834500352801,37.3180026223813,6,20260318101005,,,노스페이스화이트라벨 롯데백화점 안산점,15360,1,41,273,SH,SH04,SH040300
전라남도 목포시 옥암로 95 (상동),1층,,,,,4026167,38,20260227162530,https://tong.visitkorea.or.kr/cms/resource/59/4045359_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/59/4045359_image3_1.jpg,Type3,126.425441791834,34.8073352920005,,20260327092150,,,노스페이스화이트라벨 목포점,58662,1,46,110,SH,SH04,SH040300
경상북도 안동시 남문로 21 (서부동),,,,,,4008401,38,20260129113231,https://tong.visitkorea.or.kr/cms/resource/42/4044642_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/42/4044642_image3_1.jpg,Type3,128.72988181002,36.5652200879804,,20260327092150,,,노스페이스화이트라벨 안동점,36695,1,47,170,SH,SH04,SH040300
전라남도 여수시 통제영4길 9-1 (교동),,,,,,2907671,38,20221031081729,https://tong.visitkorea.or.kr/cms/resource/87/4020487_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/87/4020487_image3_1.jpeg,Type3,127.734971776723,34.7409817029063,6,20260317101258,,,노스페이스화이트라벨 여수점,59736,1,46,130,SH,SH04,SH040300
서울특별시 영등포구 영중로 15 (영등포동4가),6층,,,,,3306672,38,20240202082359,https://tong.visitkorea.or.kr/cms/resource/66/4017566_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/66/4017566_image3_1.jpg,Type3,126.903715993779,37.5172332566615,6,20260316103559,,,노스페이스화이트라벨 타임스퀘어점,07305,1,11,560,SH,SH04,SH040300
경기도 고양시 일산서구 호수로 817 (대화동),4층,,,,,3306389,38,20240201170447,https://tong.visitkorea.or.kr/cms/resource/15/4020215_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/15/4020215_image3_1.jpg,Type3,126.751647571454,37.6679852145335,6,20260327092150,,,노원엘스 현대백화점 킨텍스점,10391,1,41,287,SH,SH04,SH040300
부산광역시 부산진구 동성로 71 (전포동),1~3층,,,,,4011102,38,20260204130420,https://tong.visitkorea.or.kr/cms/resource/37/4023837_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/37/4023837_image3_1.jpg,Type3,129.068102246085,35.1567732935705,,20260317101259,,,노클레임,47302,1,26,230,SH,SH04,SH040300
제주특별자치도 서귀포시 표선면 가시로565번길 20,,39,A02,A0203,A02030100,1993734,12,20150401014315,http://tong.visitkorea.or.kr/cms/resource/69/3588469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3588469_image3_1.jpg,Type1,126.7716354990,33.3532755098,6,20251224111410,3,,녹산로 유채꽃도로,63623,1,50,130,EX,EX03,EX030100
서울특별시 송파구 올림픽로 300 (신천동),1층,,,,,4013181,38,20260207163211,https://tong.visitkorea.or.kr/cms/resource/43/4024743_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/43/4024743_image3_1.jpeg,Type3,127.104301829165,37.5137129859207,,20260330091611,,,논픽션 롯데월드몰점,05551,1,11,710,SH,SH04,SH040300
서울특별시 종로구 북촌로5길 84 (소격동),,,,,,4012704,38,20260207003114,https://tong.visitkorea.or.kr/cms/resource/44/4024744_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/44/4024744_image3_1.jpeg,Type3,126.980407421324,37.5801063427426,,20260318101005,,,논픽션 삼청&기프트샵,03053,1,11,110,SH,SH04,SH040300
서울특별시 성동구 연무장길 8-1 (성수동1가),1층,,,,,4025804,38,20260227114033,https://tong.visitkorea.or.kr/cms/resource/29/4045129_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/29/4045129_image3_1.JPG,Type3,127.050421554203,37.5438485771039,,20260327092150,,,논픽션 성수,04781,1,11,200,SH,SH04,SH040300
경기도 수원시 장안구 수성로 175 (정자동),2층,,,,,4025420,38,20260227005018,https://tong.visitkorea.or.kr/cms/resource/26/4044826_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/26/4044826_image3_1.jpg,Type3,126.991574559571,37.2874453391147,,20260330091611,,,논픽션 스타필드 수원점,16318,1,41,111,SH,SH04,SH040300
서울특별시 강남구 압구정로10길 13 (신사동),1층,,,,,4011553,38,20260204170854,https://tong.visitkorea.or.kr/cms/resource/45/4024745_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/45/4024745_image3_1.jpeg,Type3,127.022056763287,37.5226433029849,,20260319094959,,,논픽션 신사,06028,1,11,680,SH,SH04,SH040300
서울특별시 용산구 이태원로 242 (한남동),1층,,,,,4027195,38,20260228202410,https://tong.visitkorea.or.kr/cms/resource/93/4044793_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/93/4044793_image3_1.png,Type3,127.000342374808,37.5362571539484,,20260327092150,,,논픽션 한남,04400,1,11,170,SH,SH04,SH040300
경기도 수원시 장안구 수성로 175 (정자동),4층,,,,,4011464,38,20260204160317,https://tong.visitkorea.or.kr/cms/resource/50/4023050_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/50/4023050_image3_1.jpg,Type3,126.991574559571,37.2874453391147,,20260319031638,,,놋토 스타필드 수원점,16318,1,41,111,SH,SH04,SH040300
경기도 고양시 일산서구 대화로 362 (대화동),,,,,,2906450,38,20221101155539,https://tong.visitkorea.or.kr/cms/resource/85/4042785_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/85/4042785_image3_1.jpg,Type3,126.746377108174,37.6835975708618,6,20260326092041,,,농협고양농수산물종합유통센터,10226,1,41,287,SH,SH04,SH040300
서울특별시 성동구 성수이로 18-1,,1,A05,A0502,A05020900,2901620,39,20221108141631,http://tong.visitkorea.or.kr/cms/resource/07/2901607_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2901607_image3_1.jpg,Type3,127.0541594130,37.5369229351,6,20230510091942,16,,높은산,04776,0,,,,,
서울특별시 중랑구 사가정로43길 41 (면목동),,,,,,4009457,38,20260130213157,https://tong.visitkorea.or.kr/cms/resource/83/4021483_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/83/4021483_image3_1.jpg,Type3,127.084791987572,37.5830289899254,,20260316105417,,,누가바닛츠,02222,1,11,260,SH,SH04,SH040300
인천광역시 서구 청라커낼로 270 (청라동),,2,A05,A0502,A05020900,2603720,39,20190529194533,http://tong.visitkorea.or.kr/cms/resource/58/2603758_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2603758_image2_1.jpg,Type3,126.6449773992,37.5325855879,6,20250806154545,7,,누닝 펫푸드카페,22762,1,28,260,FD,FD05,FD050100
전북특별자치도 무주군 설천면 내배방길 22,,37,B02,B0201,B02010700,2575832,32,20181210230201,http://tong.visitkorea.or.kr/cms/resource/14/2575614_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2575614_image2_1.jpg,Type3,127.7567356523,35.9124582874,,20241126115039,5,"063-322-3759 , 010-7231-2050",눈꽃여행,55555,1,52,730,AC,AC03,AC030100
부산광역시 부산진구 중앙대로 716 (부전동),1층,,,,,4008083,38,20260128232811,https://tong.visitkorea.or.kr/cms/resource/94/4022394_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/94/4022394_image3_1.jpg,Type3,129.059393234252,35.1566143154511,,20260316103559,,,눈사랑안경 서면점,47291,1,26,230,SH,SH04,SH040300
서울특별시 서초구 강남대로65길 1 (서초동),B1층,,,,,4025607,38,20260227101627,https://tong.visitkorea.or.kr/cms/resource/96/4045096_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/96/4045096_image3_1.JPG,Type3,127.025899958924,37.5005039452946,,20260327092150,,,뉴뉴 강남점,06614,1,11,650,SH,SH04,SH040300
서울특별시 중구 마장로 34 (신당동),1-3층,,,,,4012765,38,20260207014209,https://tong.visitkorea.or.kr/cms/resource/28/4024528_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/28/4024528_image3_1.png,Type3,127.013508339585,37.5678050126796,,20260318101005,,,뉴뉴 동대문점,04566,1,11,140,SH,SH04,SH040300
서울특별시 성동구 연무장길 89 (성수동2가),,,,,,4013118,38,20260207143430,https://tong.visitkorea.or.kr/cms/resource/29/4024529_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/29/4024529_image3_1.jpeg,Type3,127.059404277104,37.5413763820978,,20260318101005,,,뉴뉴 성수점,04783,1,11,200,SH,SH04,SH040300
서울특별시 성동구 연무장길 89 (성수동2가),,,,,,4013119,38,20260207143513,https://tong.visitkorea.or.kr/cms/resource/57/4043557_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/57/4043557_image3_1.png,Type3,127.059404277104,37.5413763820978,,20260327092150,,,뉴뉴랩 성수점,04783,1,11,200,SH,SH04,SH040300
인천광역시 연수구 청능대로23번길 11 (청학동),2층,,,,,2923247,38,20221031132559,https://tong.visitkorea.or.kr/cms/resource/62/4022662_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/62/4022662_image3_1.jpg,Type3,126.668981063463,37.4186617681142,6,20260319022824,,,뉴발란스 LF스퀘어 인천점,21915,1,28,185,SH,SH04,SH040300
서울특별시 구로구 구로중앙로 152 (구로동),5층,,,,,3306990,38,20240202143450,https://tong.visitkorea.or.kr/cms/resource/61/4017761_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/61/4017761_image3_1.jpg,Type3,126.882773011925,37.5011601442131,6,20260316103559,,02-6923-2381,뉴발란스 NC 신구로점,08292,1,11,530,SH,SH04,SH040300
서울특별시 강남구 강남대로 412 (역삼동),규정빌딩 1층,,,,,4011362,38,20260204151255,https://tong.visitkorea.or.kr/cms/resource/32/4024332_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/32/4024332_image3_1.jpeg,Type3,127.027272965464,37.4995058621367,,20260312090840,,,뉴발란스 강남점,06134,1,11,680,SH,SH04,SH040300
강원특별자치도 강릉시 금성로42번길 2 (금학동),,,,,,2930321,38,20221031193725,https://tong.visitkorea.or.kr/cms/resource/69/4042169_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/69/4042169_image3_1.JPG,Type3,128.896363136133,37.7532040142626,6,20260326092041,,,뉴발란스 강릉점,25540,1,51,150,SH,SH04,SH040300
부산광역시 중구 광복로 72 (광복동2가),,,,,,2930291,38,20221031233749,https://tong.visitkorea.or.kr/cms/resource/86/4020286_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/86/4020286_image3_1.jpg,Type3,129.032631112942,35.0986299907193,6,20260327092150,,,뉴발란스 광복점,48954,1,26,110,SH,SH04,SH040300
대구광역시 중구 동성로 21-1 (동성로2가),,,,,,2907797,38,20221031133101,https://tong.visitkorea.or.kr/cms/resource/63/4020263_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/63/4020263_image3_1.jpg,Type3,128.594966037065,35.8688693272314,6,20260316105417,,,뉴발란스 동성로점,41937,1,27,110,SH,SH04,SH040300
경기도 광명시 일직로 17 (일직동),,,,,,2911540,38,20221031113851,https://tong.visitkorea.or.kr/cms/resource/51/4017851_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/51/4017851_image3_1.jpg,Type3,126.882779952497,37.4243110028905,6,20260316103559,,,뉴발란스 롯데몰 광명점,14352,1,41,210,SH,SH04,SH040300
전북특별자치도 군산시 조촌로 130 (조촌동),2층,,,,,4009562,38,20260131032140,https://tong.visitkorea.or.kr/cms/resource/37/4042337_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/37/4042337_image3_1.jpg,Type3,126.739141072625,35.9764135493257,,20260327092150,,,뉴발란스 롯데몰 군산점,54072,1,52,130,SH,SH04,SH040300
경기도 안양시 동안구 시민대로 180 (호계동),5층,,,,,2923104,38,20221030161549,https://tong.visitkorea.or.kr/cms/resource/00/4019800_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/00/4019800_image3_1.jpg,Type3,126.950178643649,37.390002179095,6,20260327092150,,,뉴발란스 롯데백화점 평촌점,14073,1,41,173,SH,SH04,SH040300
서울특별시 용산구 한강대로 405 (동자동),2층,,,,,2909834,38,20221031140137,https://tong.visitkorea.or.kr/cms/resource/28/4021028_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/28/4021028_image3_1.jpg,Type3,126.971732581232,37.5548375992165,6,20260317101258,,,뉴발란스 롯데아울렛 서울역점,04320,1,11,170,SH,SH04,SH040300
충청북도 청주시 흥덕구 2순환로 1004 (비하동),3층,,,,,4009666,38,20260131165901,https://tong.visitkorea.or.kr/cms/resource/27/4023527_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/27/4023527_image3_1.jpg,Type3,127.421741267405,36.6451689853204,,20260330091611,,,뉴발란스 롯데아울렛 청주점,28360,1,43,113,SH,SH04,SH040300
경기도 용인시 기흥구 신고매로 124 (고매동),,,,,,2924520,38,20221031002140,https://tong.visitkorea.or.kr/cms/resource/67/4021767_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/67/4021767_image3_1.jpg,Type3,127.121283960956,37.2255419641124,6,20260318101005,,,뉴발란스 롯데프리미엄아울렛 기흥점,17087,1,41,463,SH,SH04,SH040300
경상남도 김해시 장유로 469 (신문동),1층,,,,,2905739,38,20221031133548,https://tong.visitkorea.or.kr/cms/resource/28/4023428_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/28/4023428_image3_1.jpg,Type3,128.829596369018,35.1850621204763,6,20260318101005,,,뉴발란스 롯데프리미엄아울렛 김해점,51011,1,48,250,SH,SH04,SH040300
경기도 파주시 문발로 284 (문발동),1층,,,,,2922496,38,20221031150420,https://tong.visitkorea.or.kr/cms/resource/69/4023669_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/69/4023669_image3_1.jpg,Type3,126.692549074164,37.7180926232465,6,20260327092150,,,뉴발란스 롯데프리미엄아울렛 파주점,10881,1,41,480,SH,SH04,SH040300
인천광역시 서구 북항로32번안길 50 (원창동),1층,,,,,2916128,38,20221031132654,https://tong.visitkorea.or.kr/cms/resource/38/4020938_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/38/4020938_image3_1.jpg,Type3,126.64772504066,37.5099191232844,6,20260317101259,,,뉴발란스 모다아울렛 인천점,22769,1,28,260,SH,SH04,SH040300
부산광역시 금정구 부산대학로 35 (장전동),1층,,,,,2901494,38,20221101003249,https://tong.visitkorea.or.kr/cms/resource/60/4019860_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/60/4019860_image3_1.jpg,Type3,129.087294912423,35.2310618593147,6,20260316105417,,051-514-3740,뉴발란스 부산대점,46291,1,26,410,SH,SH04,SH040300
경기도 부천시 소사구 옥길로 1 (옥길동),,,,,,2931422,38,20221031234830,https://tong.visitkorea.or.kr/cms/resource/32/4043232_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/32/4043232_image3_1.jpg,Type3,126.813940279533,37.4615202479021,6,20260327092150,,,뉴발란스 스타필드 시티 부천점,14789,1,41,194,SH,SH04,SH040300
경기도 시흥시 중심상가로 192 (정왕동),,,,,,4011546,38,20260204170555,https://tong.visitkorea.or.kr/cms/resource/97/4023297_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/97/4023297_image3_1.jpg,Type3,126.736278611553,37.3441294096228,,20260312090840,,,뉴발란스 시화점,15066,1,41,390,SH,SH04,SH040300
부산광역시 기장군 장안읍 정관로 1133,3층,,,,,2928870,38,20221031165015,https://tong.visitkorea.or.kr/cms/resource/12/4022812_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/12/4022812_image3_1.jpg,Type3,129.236072800234,35.3249413082094,6,20260330091611,,051-940-1368,뉴발란스 신세계사이먼프리미엄아울렛 부산점,46029,1,26,710,SH,SH04,SH040300
경기도 시흥시 서해안로 699 (배곧동),,,,,,2923982,38,20221031153939,https://tong.visitkorea.or.kr/cms/resource/82/4021382_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/82/4021382_image3_1.jpg,Type3,126.736985310798,37.3796755964231,6,20260330091611,,,뉴발란스 신세계사이먼프리미엄아울렛 시흥점,15010,1,41,390,SH,SH04,SH040300
경기도 파주시 탄현면 필승로 200,,,,,,2904386,38,20221031144513,https://tong.visitkorea.or.kr/cms/resource/67/4022467_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/67/4022467_image3_1.jpg,Type3,126.695385303664,37.769351232912,6,20260326092041,,,뉴발란스 신세계사이먼프리미엄아울렛 파주점,10862,1,41,480,SH,SH04,SH040300
제주특별자치도 제주시 신광로 33 (연동),,,,,,2911202,38,20221101095846,https://tong.visitkorea.or.kr/cms/resource/77/4017177_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/77/4017177_image3_1.jpg,Type3,126.490395623779,33.4892197069469,6,20260316103559,,,뉴발란스 신제주점,63124,1,50,110,SH,SH04,SH040300
경기도 안산시 단원구 중앙대로 907 (고잔동),,,,,,2923645,38,20221031101113,https://tong.visitkorea.or.kr/cms/resource/45/4019745_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/45/4019745_image3_1.jpg,Type3,126.837716184417,37.3171085661508,6,20260316105417,,,뉴발란스 안산중앙점,15361,1,41,273,SH,SH04,SH040300
전북특별자치도 전주시 완산구 전주객사4길 29 (고사동),,,,,,2930522,38,20221101113713,https://tong.visitkorea.or.kr/cms/resource/50/4020550_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/50/4020550_image3_1.jpeg,Type3,127.143684878277,35.818949855121,6,20260330091611,,,뉴발란스 전주점,54999,1,52,111,SH,SH04,SH040300
제주특별자치도 제주시 관덕로11길 16 (일도일동),,,,,,2931669,38,20221101034619,https://tong.visitkorea.or.kr/cms/resource/36/4020136_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/36/4020136_image3_1.jpg,Type3,126.525619570515,33.5144874595037,6,20260319094959,,,뉴발란스 제주점,63277,1,50,110,SH,SH04,SH040300
서울특별시 성동구 연무장길 24 (성수동2가),,,,,,4013112,38,20260207142940,https://tong.visitkorea.or.kr/cms/resource/88/4024388_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/88/4024388_image3_1.jpeg,Type3,127.052066032181,37.5433382582327,,20260312090840,,,뉴발란스 직영성수점,04781,1,11,200,SH,SH04,SH040300
강원특별자치도 춘천시 명동길 11-1 (조양동),,,,,,2903122,38,20221031183141,https://tong.visitkorea.or.kr/cms/resource/75/4042275_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/75/4042275_image3_1.JPG,Type3,127.727361969661,37.8793189719468,6,20260326092041,,,뉴발란스 춘천점,24353,1,51,110,SH,SH04,SH040300
